lat,lon,date,hour,temperature,precipitation,weather_code,cloud_cover,wind_speed
52.537781,13.569829,2024-03-31,15,18.7,0.0,3,99,4.5
52.537781,13.569829,2024-03-31,16,18.9,0.0,3,100,7.9
52.537781,13.569829,2024-03-31,17,18.5,0.0,3,100,11.5
52.510519,13.4178,2024-04-30,17,25.9,0.0,1,35,14.6
52.510519,13.4178,2024-04-30,18,25.0,0.0,1,42,13.0
52.44552,13.448315,2024-05-27,10,20.2,0.0,3,100,8.0
52.44552,13.448315,2024-05-27,11,21.4,0.0,3,100,6.3
52.44552,13.448315,2024-05-27,12,22.1,0.0,3,100,6.5
52.44552,13.448315,2024-05-27,13,22.2,0.0,3,100,5.3
52.546804,13.453466,2025-01-12,13,-0.1,0.0,3,92,10.4
52.546804,13.453466,2025-01-12,14,0.3,0.0,3,96,10.8
52.546804,13.453466,2025-01-12,15,1.1,0.0,3,88,8.7
52.546804,13.453466,2025-01-12,16,0.9,0.0,2,72,8.5
